Event,Lap,Driver,GapToLeader_Secs
Australian Grand Prix,23.0,LEC,25.87
Australian Grand Prix,23.0,STR,49.482
Australian Grand Prix,23.0,TSU,34.984
Australian Grand Prix,23.0,ALB,37.727
Australian Grand Prix,23.0,HUL,59.102
Australian Grand Prix,23.0,LAW,67.15
Australian Grand Prix,23.0,OCO,71.51
Australian Grand Prix,23.0,NOR,0.0
Australian Grand Prix,23.0,HAM,38.607
Australian Grand Prix,23.0,BOR,61.87
Australian Grand Prix,23.0,RUS,20.472
Australian Grand Prix,23.0,PIA,1.847
Australian Grand Prix,23.0,BEA,73.312
Australian Grand Prix,24.0,VER,12.932
Australian Grand Prix,24.0,GAS,44.049
Australian Grand Prix,24.0,ANT,48.371
Australian Grand Prix,24.0,ALO,45.991
Australian Grand Prix,24.0,LEC,26.915
Australian Grand Prix,24.0,STR,51.897
Australian Grand Prix,24.0,TSU,36.677
Australian Grand Prix,24.0,ALB,39.908
Australian Grand Prix,24.0,HUL,61.884
Australian Grand Prix,24.0,LAW,69.618
Australian Grand Prix,24.0,OCO,74.871
Australian Grand Prix,24.0,NOR,0.0
Australian Grand Prix,24.0,HAM,40.772
Australian Grand Prix,24.0,BOR,64.552
Australian Grand Prix,24.0,RUS,21.458
Australian Grand Prix,24.0,PIA,1.786
Australian Grand Prix,24.0,BEA,76.667
Australian Grand Prix,25.0,VER,14.176
Australian Grand Prix,25.0,GAS,46.07
Australian Grand Prix,25.0,ANT,49.476
Australian Grand Prix,25.0,ALO,48.151
Australian Grand Prix,25.0,LEC,27.565
Australian Grand Prix,25.0,STR,54.388
Australian Grand Prix,25.0,TSU,38.456
Australian Grand Prix,25.0,ALB,41.321
Australian Grand Prix,25.0,HUL,64.258
Australian Grand Prix,25.0,LAW,71.976
Australian Grand Prix,25.0,OCO,77.808
Australian Grand Prix,25.0,NOR,0.0
Australian Grand Prix,25.0,HAM,42.031
Australian Grand Prix,25.0,BOR,67.186
Australian Grand Prix,25.0,RUS,22.345
Australian Grand Prix,25.0,PIA,1.48
Australian Grand Prix,25.0,BEA,79.679
Australian Grand Prix,26.0,VER,15.309
Australian Grand Prix,26.0,GAS,47.838
Australian Grand Prix,26.0,ANT,51.615
Australian Grand Prix,26.0,ALO,50.334
Australian Grand Prix,26.0,LEC,28.745
Australian Grand Prix,26.0,STR,56.775
Australian Grand Prix,26.0,TSU,40.501
Australian Grand Prix,26.0,ALB,43.47
Australian Grand Prix,26.0,HUL,66.908
Australian Grand Prix,26.0,LAW,73.945
Australian Grand Prix,26.0,OCO,81.188
Australian Grand Prix,26.0,NOR,0.0
Australian Grand Prix,26.0,HAM,44.173
Australian Grand Prix,26.0,BOR,69.451
Australian Grand Prix,26.0,RUS,23.296
Australian Grand Prix,26.0,PIA,1.453
Australian Grand Prix,26.0,BEA,83.096
Australian Grand Prix,27.0,VER,15.79
Australian Grand Prix,27.0,GAS,49.223
Australian Grand Prix,27.0,ANT,52.828
Australian Grand Prix,27.0,ALO,51.979
Australian Grand Prix,27.0,LEC,30.058
Australian Grand Prix,27.0,STR,58.933
Australian Grand Prix,27.0,TSU,42.317
Australian Grand Prix,27.0,ALB,44.672
Australian Grand Prix,27.0,HUL,68.776
Australian Grand Prix,27.0,LAW,75.789
Australian Grand Prix,27.0,OCO,84.24
Australian Grand Prix,27.0,NOR,0.0
Australian Grand Prix,27.0,HAM,45.678
Australian Grand Prix,27.0,BOR,71.607
Australian Grand Prix,27.0,RUS,23.909
Australian Grand Prix,27.0,PIA,1.24
Australian Grand Prix,27.0,BEA,86.353
Australian Grand Prix,28.0,VER,16.104
Australian Grand Prix,28.0,GAS,50.508
Australian Grand Prix,28.0,ANT,54.447
Australian Grand Prix,28.0,ALO,53.534
Australian Grand Prix,28.0,LEC,30.684
Australian Grand Prix,28.0,STR,60.561
Australian Grand Prix,28.0,TSU,43.929
Australian Grand Prix,28.0,ALB,45.907
Australian Grand Prix,28.0,HUL,70.48
Australian Grand Prix,28.0,LAW,77.776
Australian Grand Prix,28.0,OCO,87.353
Australian Grand Prix,28.0,NOR,0.0
Australian Grand Prix,28.0,HAM,46.724
Australian Grand Prix,28.0,BOR,73.265
Australian Grand Prix,28.0,RUS,24.508
Australian Grand Prix,28.0,PIA,0.772
Australian Grand Prix,28.0,BEA,91.761
Australian Grand Prix,29.0,VER,16.79
Australian Grand Prix,29.0,GAS,52.202
Australian Grand Prix,29.0,ANT,56.009
Australian Grand Prix,29.0,ALO,54.895
Australian Grand Prix,29.0,LEC,31.819
Australian Grand Prix,29.0,STR,63.139
Australian Grand Prix,29.0,TSU,45.603
Australian Grand Prix,29.0,ALB,47.573
Australian Grand Prix,29.0,HUL,72.501
