EventName,Lap,Driver,GapToLeader_Secs
Bahrain Grand Prix,17.0,TSU,45.782
Bahrain Grand Prix,17.0,ALB,43.939
Bahrain Grand Prix,17.0,ZHO,57.537
Bahrain Grand Prix,17.0,HUL,57.072
Bahrain Grand Prix,17.0,OCO,83.586
Bahrain Grand Prix,17.0,NOR,56.521
Bahrain Grand Prix,17.0,HAM,31.153
Bahrain Grand Prix,17.0,SAI,28.401
Bahrain Grand Prix,17.0,RUS,37.151
Bahrain Grand Prix,17.0,BOT,36.826
Bahrain Grand Prix,18.0,VER,0.0
Bahrain Grand Prix,18.0,GAS,43.08
Bahrain Grand Prix,18.0,PER,14.556000000000001
Bahrain Grand Prix,18.0,ALO,29.571
Bahrain Grand Prix,18.0,LEC,10.593
Bahrain Grand Prix,18.0,STR,34.159
Bahrain Grand Prix,18.0,SAR,44.638
Bahrain Grand Prix,18.0,MAG,60.629
Bahrain Grand Prix,18.0,DEV,50.257
Bahrain Grand Prix,18.0,TSU,40.843
Bahrain Grand Prix,18.0,ALB,38.747
Bahrain Grand Prix,18.0,ZHO,52.169
Bahrain Grand Prix,18.0,HUL,53.154
Bahrain Grand Prix,18.0,OCO,78.231
Bahrain Grand Prix,18.0,NOR,80.887
Bahrain Grand Prix,18.0,HAM,25.602
Bahrain Grand Prix,18.0,SAI,22.447
Bahrain Grand Prix,18.0,RUS,31.337
Bahrain Grand Prix,18.0,BOT,32.825
Bahrain Grand Prix,19.0,VER,0.0
Bahrain Grand Prix,19.0,GAS,44.434
Bahrain Grand Prix,19.0,PER,14.503
Bahrain Grand Prix,19.0,ALO,30.22
Bahrain Grand Prix,19.0,LEC,10.739
Bahrain Grand Prix,19.0,STR,35.034
Bahrain Grand Prix,19.0,SAR,46.146
Bahrain Grand Prix,19.0,MAG,61.72
Bahrain Grand Prix,19.0,DEV,51.623
Bahrain Grand Prix,19.0,TSU,42.301
Bahrain Grand Prix,19.0,ALB,40.307
Bahrain Grand Prix,19.0,ZHO,53.251
Bahrain Grand Prix,19.0,HUL,55.075
Bahrain Grand Prix,19.0,OCO,79.336
Bahrain Grand Prix,19.0,NOR,81.141
Bahrain Grand Prix,19.0,HAM,26.574
Bahrain Grand Prix,19.0,SAI,22.945
Bahrain Grand Prix,19.0,RUS,32.137
Bahrain Grand Prix,19.0,BOT,34.61
Bahrain Grand Prix,20.0,VER,0.0
Bahrain Grand Prix,20.0,GAS,45.663
Bahrain Grand Prix,20.0,PER,14.163
Bahrain Grand Prix,20.0,ALO,30.75
Bahrain Grand Prix,20.0,LEC,10.582
Bahrain Grand Prix,20.0,STR,35.284
Bahrain Grand Prix,20.0,SAR,47.544
Bahrain Grand Prix,20.0,MAG,63.015
Bahrain Grand Prix,20.0,DEV,53.017
Bahrain Grand Prix,20.0,TSU,43.795
Bahrain Grand Prix,20.0,ALB,41.818
Bahrain Grand Prix,20.0,ZHO,54.359
Bahrain Grand Prix,20.0,HUL,56.782
Bahrain Grand Prix,20.0,OCO,80.357
Bahrain Grand Prix,20.0,NOR,81.698
Bahrain Grand Prix,20.0,HAM,27.264
Bahrain Grand Prix,20.0,SAI,23.253
Bahrain Grand Prix,20.0,RUS,32.927
Bahrain Grand Prix,20.0,BOT,37.264
Bahrain Grand Prix,21.0,VER,0.0
Bahrain Grand Prix,21.0,GAS,47.408
Bahrain Grand Prix,21.0,PER,13.821
Bahrain Grand Prix,21.0,ALO,31.575
Bahrain Grand Prix,21.0,LEC,10.753
Bahrain Grand Prix,21.0,STR,35.975
Bahrain Grand Prix,21.0,SAR,49.574
Bahrain Grand Prix,21.0,MAG,64.519
Bahrain Grand Prix,21.0,DEV,54.617
Bahrain Grand Prix,21.0,TSU,45.538
Bahrain Grand Prix,21.0,ALB,43.827
Bahrain Grand Prix,21.0,ZHO,55.665
Bahrain Grand Prix,21.0,HUL,58.903
Bahrain Grand Prix,21.0,OCO,81.751
Bahrain Grand Prix,21.0,NOR,82.413
Bahrain Grand Prix,21.0,HAM,28.263
Bahrain Grand Prix,21.0,SAI,23.911
Bahrain Grand Prix,21.0,RUS,33.9
Bahrain Grand Prix,21.0,BOT,39.037
Bahrain Grand Prix,22.0,VER,0.0
Bahrain Grand Prix,22.0,GAS,49.242
Bahrain Grand Prix,22.0,PER,13.339
Bahrain Grand Prix,22.0,ALO,32.124
Bahrain Grand Prix,22.0,LEC,11.264
Bahrain Grand Prix,22.0,STR,37.054
Bahrain Grand Prix,22.0,SAR,51.285
Bahrain Grand Prix,22.0,MAG,65.781
Bahrain Grand Prix,22.0,DEV,56.262
Bahrain Grand Prix,22.0,TSU,47.326
Bahrain Grand Prix,22.0,ALB,45.764
Bahrain Grand Prix,22.0,ZHO,57.129
Bahrain Grand Prix,22.0,HUL,61.186
Bahrain Grand Prix,22.0,OCO,83.128
Bahrain Grand Prix,22.0,NOR,83.67
Bahrain Grand Prix,22.0,HAM,29.072
Bahrain Grand Prix,22.0,SAI,24.713
Bahrain Grand Prix,22.0,RUS,34.687
Bahrain Grand Prix,22.0,BOT,40.742
Bahrain Grand Prix,23.0,VER,0.0
Bahrain Grand Prix,23.0,GAS,50.953
Bahrain Grand Prix,23.0,PER,13.091
Bahrain Grand Prix,23.0,ALO,32.425
Bahrain Grand Prix,23.0,LEC,11.766
Bahrain Grand Prix,23.0,STR,37.797
Bahrain Grand Prix,23.0,SAR,53.425
Bahrain Grand Prix,23.0,MAG,67.256
Bahrain Grand Prix,23.0,DEV,58.252
Bahrain Grand Prix,23.0,TSU,49.406
Bahrain Grand Prix,23.0,ALB,48.014
Bahrain Grand Prix,23.0,ZHO,59.039
Bahrain Grand Prix,23.0,HUL,63.5
Bahrain Grand Prix,23.0,OCO,85.628
Bahrain Grand Prix,23.0,NOR,84.409
Bahrain Grand Prix,23.0,HAM,29.904
Bahrain Grand Prix,23.0,SAI,25.758
Bahrain Grand Prix,23.0,RUS,35.908
Bahrain Grand Prix,23.0,BOT,42.501
Bahrain Grand Prix,24.0,VER,0.0
Bahrain Grand Prix,24.0,GAS,53.327
Bahrain Grand Prix,24.0,PER,13.056
Bahrain Grand Prix,24.0,ALO,32.916
Bahrain Grand Prix,24.0,LEC,12.350999999999999
Bahrain Grand Prix,24.0,STR,38.888
Bahrain Grand Prix,24.0,SAR,55.91
Bahrain Grand Prix,24.0,MAG,68.816
Bahrain Grand Prix,24.0,DEV,60.672
Bahrain Grand Prix,24.0,TSU,52.128
Bahrain Grand Prix,24.0,ALB,50.517
Bahrain Grand Prix,24.0,ZHO,61.155
Bahrain Grand Prix,24.0,HUL,65.968
Bahrain Grand Prix,24.0,OCO,87.623
Bahrain Grand Prix,24.0,NOR,85.718
Bahrain Grand Prix,24.0,HAM,30.884
